Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Snack,500.0,0,1,1,0
Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Dinner,250.0,0,0,0,0
Garlic Bread (1 slice),Grain,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,Dinner,0.0,1,0,0,0
Chocolate Milk (1 cup),Beverage/Dairy,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,Snack,0.0,0,0,1,0
White Bread (1 slice),Grain,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,Breakfast,0.0,1,0,1,1
Jelly (1 tbsp grape),Condiment,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,Breakfast,0.0,0,1,1,0
Veggie Burger (1 patty),Protein/Vegetarian,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,Lunch,250.0,1,0,0,1
Bun (hamburger),Grain,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,Lunch,0.0,1,0,0,1
Ketchup (1 tbsp),Condiment,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,Lunch,0.0,1,0,1,1
Muffin (Blueberry 1 large),Grain/Dessert,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,Breakfast,250.0,0,0,0,0
Coffee (with cream/sugar),Beverage,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,Breakfast,250.0,1,1,1,1
Potato Chips (1 oz),Snack/Processed,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,Snack,0.0,1,0,1,0
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Dinner,0.0,1,1,1,1
Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Breakfast,0.0,0,0,0,1
Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Breakfast,0.0,0,1,1,0
Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Breakfast,0.0,1,0,0,0
Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Breakfast,250.0,0,1,1,0
Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,Lunch,0.0,1,1,1,1
Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,Lunch,0.0,0,1,1,1
Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,Lunch,0.0,1,1,1,1
Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,Snack,0.0,1,1,1,1
Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,Snack,0.0,0,0,0,1
Pork Chop (4oz grilled),Protein/Meat,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,Dinner,250.0,1,0,0,0
Mashed Potatoes (1 cup),Vegetable,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,Dinner,0.0,0,0,0,0
Corn (1 cup),Vegetable,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,Dinner,0.0,0,1,1,0
Soda (1 can Coke),Beverage,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,Snack,355.0,0,1,1,0
Pretzels (1 oz),Grain/Processed,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,Snack,0.0,1,0,0,1
Cheddar Cheese (1 oz),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Snack,0.0,1,0,1,0
Caesar Salad (with chicken),Meal/Protein,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,Lunch,250.0,1,0,0,0
Orange Juice (1 cup),Beverage,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,Breakfast,240.0,0,1,1,0
Bacon (2 slices cooked),Protein/Meat,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,Breakfast,0.0,1,0,0,1
Waffles (2 homemade),Grain,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,Breakfast,0.0,1,0,0,0
Pear,Fruit,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,Snack,0.0,0,1,1,0
Chicken Breast (4oz roasted),Protein/Meat,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,Lunch,500.0,1,0,0,1
Mixed Nuts (1/4 cup),Nut,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,Snack,0.0,1,1,1,0
Tilapia (4oz baked),Protein/Fish,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,Dinner,0.0,1,0,0,1
Asparagus (1 cup steamed),Vegetable,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,Dinner,0.0,1,1,1,1
Sweet Potato (1 medium baked),Vegetable,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,Dinner,0.0,0,1,1,0
Popcorn (3 cups air-popped),Grain,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,Snack,250.0,1,1,1,1
Raisins (1/4 cup),Fruit,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,Snack,0.0,0,1,1,0
Macaroni & Cheese (1 cup),Meal/Pasta,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,Lunch,250.0,0,0,0,0
Tomato Soup (1 can),Meal/Vegetable,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,Lunch,0.0,0,0,0,0
Grilled Cheese Sandwich,Meal/Processed,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,Lunch,0.0,0,0,0,0
Beef Tacos (2 hard shell),Meal/Meat,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,Dinner,500.0,1,0,0,0
Refried Beans (1/2 cup),Legume,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,Dinner,0.0,1,0,0,1
Guacamole (1/4 cup),Vegetable/Condiment,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,Dinner,0.0,1,1,1,0
Watermelon (1 cup diced),Fruit,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,Snack,0.0,0,1,1,0
English Muffin (whole wheat),Grain,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,Breakfast,250.0,1,0,0,1
Peanut Butter & Jelly Sandwich,Meal/Processed,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,Lunch,250.0,0,0,0,0
Clam Chowder (1 cup),Meal/Seafood,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,Lunch,0.0,1,0,0,0
Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Snack,500.0,0,1,1,0
Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Dinner,250.0,0,0,0,0
Garlic Bread (1 slice),Grain,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,Dinner,0.0,1,0,0,0
Chocolate Milk (1 cup),Beverage/Dairy,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,Snack,0.0,0,0,1,0
White Bread (1 slice),Grain,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,Breakfast,0.0,1,0,1,1
Jelly (1 tbsp grape),Condiment,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,Breakfast,0.0,0,1,1,0
Veggie Burger (1 patty),Protein/Vegetarian,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,Lunch,250.0,1,0,0,1
Bun (hamburger),Grain,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,Lunch,0.0,1,0,0,1
Ketchup (1 tbsp),Condiment,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,Lunch,0.0,1,0,1,1
Muffin (Blueberry 1 large),Grain/Dessert,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,Breakfast,250.0,0,0,0,0
Coffee (with cream/sugar),Beverage,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,Breakfast,250.0,1,1,1,1
Potato Chips (1 oz),Snack/Processed,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,Snack,0.0,1,0,1,0
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Dinner,0.0,1,1,1,1
Scallops (3oz seared),Protein/Seafood,95.0,17.0,5.0,1.0,0.0,0.0,180.0,35.0,Dinner,0.0,1,0,0,1
Risotto (Mushroom 1 cup),Meal/Grain,250.0,7.0,35.0,9.0,3.0,3.0,600.0,20.0,Dinner,0.0,0,0,0,0
Caprese Salad,Meal/Vegetable,240.0,10.0,8.0,18.0,2.0,5.0,350.0,40.0,Lunch,250.0,0,0,0,0
Balsamic Vinaigrette (2 tbsp),Condiment,90.0,0.0,3.0,9.0,0.0,2.5,300.0,0.0,Lunch,0.0,1,0,0,0
Cherries (1 cup),Fruit,77.0,1.6,19.0,0.5,2.5,15.0,0.0,0.0,Snack,0.0,0,1,1,0
Turkey Bacon (2 slices),Protein/Meat,70.0,6.0,1.0,5.0,0.0,0.5,360.0,30.0,Breakfast,0.0,1,0,0,1
Grits (1 cup cooked),Grain,150.0,3.0,32.0,1.0,2.0,0.5,320.0,0.0,Breakfast,0.0,0,0,0,1
Butter (1 tbsp),Condiment/Dairy,100.0,0.1,0.0,11.0,0.0,0.0,82.0,30.0,Breakfast,0.0,1,0,1,0
Meatball Sub (6 inch),Meal/Processed,580.0,28.0,55.0,27.0,6.0,10.0,1200.0,70.0,Lunch,500.0,0,0,0,0
Kiwifruit (1 medium),Fruit,46.0,0.9,11.1,0.4,2.3,6.7,2.0,0.0,Snack,0.0,0,1,1,1
Beef Jerky (1 oz),Snack/Processed,116.0,9.4,3.1,7.2,0.5,2.5,590.0,30.0,Snack,0.0,1,0,0,0
Figs (2 medium),Fruit,74.0,0.6,19.2,0.3,2.9,16.2,2.0,0.0,Snack,0.0,0,1,1,0
Lobster (3oz steamed),Protein/Seafood,76.0,16.0,0.0,0.7,0.0,0.0,250.0,125.0,Dinner,250.0,1,0,0,1
Melted Butter (for lobster),Condiment,200.0,0.2,0.0,22.0,0.0,0.0,164.0,60.0,Dinner,0.0,1,0,1,0
Corn on the Cob (1 large),Vegetable,125.0,5.0,29.0,1.5,3.0,5.0,2.0,0.0,Dinner,0.0,0,1,1,1
Vegetable Soup (1 can),Meal/Vegetable,140.0,4.0,22.0,4.0,6.0,8.0,780.0,5.0,Lunch,250.0,0,0,0,0
Saltine Crackers (5 crackers),Grain/Processed,60.0,1.0,10.0,1.5,0.5,0.0,140.0,0.0,Lunch,0.0,1,0,1,1
Mango (1 cup slices),Fruit,99.0,1.4,24.7,0.6,2.6,22.5,2.0,0.0,Snack,0.0,0,1,1,0
Cheesecake (1 slice),Dessert,320.0,5.0,28.0,21.0,1.0,20.0,280.0,65.0,Snack,250.0,0,0,0,0
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550.0,25.0,60.0,22.0,5.0,10.0,950.0,70.0,Dinner,500.0,0,0,0,0
Spring Roll (Veg 2 rolls),Snack/Processed,180.0,4.0,25.0,7.0,3.0,3.0,450.0,0.0,Dinner,0.0,1,0,0,0
Coconut Water (1 cup),Beverage,46.0,1.7,8.9,0.5,2.6,6.3,252.0,0.0,Snack,240.0,0,0,0,1
Kimchi (1/2 cup),Vegetable,22.0,1.7,4.0,0.4,2.4,1.5,750.0,0.0,Side,0.0,1,0,0,1
Sashimi (Salmon 3 pcs),Protein/Fish,120.0,18.0,0.0,5.0,0.0,0.0,45.0,40.0,Lunch,0.0,1,0,0,1
Wasabi (1 tsp),Condiment,10.0,0.1,2.2,0.1,0.3,1.0,40.0,0.0,Lunch,0.0,1,1,1,1
Seaweed Salad (1/2 cup),Vegetable,60.0,2.0,8.0,3.0,2.0,4.0,350.0,0.0,Lunch,0.0,1,0,0,1
French Onion Soup (1 cup),Meal,150.0,6.0,15.0,7.0,2.0,5.0,800.0,20.0,Lunch,250.0,0,0,0,0
Croutons (1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Lunch,0.0,1,0,1,1
Shepherd's Pie (1 serving),Meal/Meat,400.0,20.0,35.0,20.0,6.0,7.0,850.0,55.0,Dinner,250.0,0,0,0,0
Green Peas (1/2 cup),Legume,62.0,4.1,11.1,0.2,4.4,4.2,2.0,0.0,Dinner,0.0,1,1,1,1
Apple Pie (1 slice),Dessert,410.0,3.0,58.0,19.0,3.0,25.0,320.0,0.0,Snack,0.0,0,0,0,0
Gin & Tonic (1 drink),Beverage,170.0,0.0,13.0,0.0,0.0,13.0,2.0,0.0,Snack,180.0,0,1,1,0
Red Wine (5 oz glass),Beverage,125.0,0.1,3.8,0.0,0.0,0.9,6.0,0.0,Dinner,0.0,1,1,1,1
Halibut (4oz baked),Protein/Fish,125.0,24.0,0.0,2.5,0.0,0.0,60.0,40.0,Dinner,250.0,1,0,0,1
Quinoa Salad (1 cup),Meal/Vegetarian,260.0,9.0,32.0,12.0,6.0,4.0,300.0,0.0,Lunch,250.0,0,0,0,0
Lemonade (1 cup),Beverage,99.0,0.1,26.0,0.0,0.1,25.0,30.0,0.0,Snack,240.0,0,1,1,0
Pistachios (1 oz shelled),Nut,159.0,5.7,7.7,12.8,3.0,2.2,2.0,0.0,Snack,0.0,1,1,1,0
Oat Milk (1 cup),Beverage/Dairy-Alt,120.0,3.0,16.0,5.0,2.0,7.0,100.0,0.0,Breakfast,0.0,0,1,1,0
Biscuits and Gravy (1 serving),Meal/Processed,480.0,10.0,45.0,28.0,2.0,3.0,1100.0,35.0,Breakfast,250.0,0,0,0,0
Avocado (1/2 fruit),Fruit,160.0,2.0,8.5,14.7,6.7,0.7,7.0,0.0,Breakfast,0.0,1,1,1,0
Corn Flakes (1 cup),Grain,100.0,2.0,24.0,0.0,1.0,3.0,200.0,0.0,Breakfast,0.0,1,0,0,1
T-Bone Steak (6oz),Protein/Meat,460.0,38.0,0.0,33.0,0.0,0.0,110.0,105.0,Dinner,0.0,1,0,0,0
Creamed Spinach (1/2 cup),Vegetable,190.0,5.0,8.0,16.0,3.0,2.0,450.0,50.0,Dinner,0.0,1,0,0,0
Pecans (1 oz),Nut,196.0,2.6,3.9,20.4,2.7,1.1,0.0,0.0,Snack,0.0,1,1,1,0
Fruit Cocktail (canned 1 cup),Fruit,110.0,1.0,28.0,0.0,2.0,26.0,10.0,0.0,Snack,0.0,0,1,1,0
Ramen (Instant 1 pack),Meal/Processed,380.0,9.0,53.0,14.0,2.0,2.0,1580.0,0.0,Lunch,500.0,0,0,0,0
Mocha Latte (16oz),Beverage,360.0,12.0,48.0,15.0,2.0,42.0,150.0,45.0,Snack,473.0,0,0,1,0
Cucumber Slices (1 cup),Vegetable,16.0,0.7,3.6,0.1,0.5,1.7,2.0,0.0,Snack,0.0,1,1,1,1
Feta Cheese (1 oz),Dairy,75.0,4.0,1.2,6.1,0.0,0.7,316.0,25.0,Lunch,0.0,1,0,0,1
Olives (Kalamata 5 large),Fruit,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,Lunch,0.0,1,0,0,1
